Strike,Ticker,Bid,Ask,Last,IVM,Volm
770,GOOGL 3/20/20 C770,499.5,508,0,0,0
780,GOOGL 3/20/20 C780,489.5,498.1000061,517.9000244,0,0
790,GOOGL 3/20/20 C790,479.5,488.1000061,0,0,0
795,GOOGL 3/20/20 C795,475,483.10,0,0,0
800,GOOGL 3/20/20 C800,470,478.1000061,485.6000061,0,0
805,GOOGL 3/20/20 C805,465,473.1000061,0,0,0
810,GOOGL 3/20/20 C810,460,468.1000061,0,0,0
815,GOOGL 3/20/20 C815,455,463.1000061,0,0,0
820,GOOGL 3/20/20 C820,450,458.1000061,705,0,0
825,GOOGL 3/20/20 C825,445,453.1000061,0,0,0
830,GOOGL 3/20/20 C830,440,448.1000061,554.5,0,0
835,GOOGL 3/20/20 C835,435,443.2000122,0,0,0
840,GOOGL 3/20/20 C840,430,438.2000122,0,0,0
845,GOOGL 3/20/20 C845,425,433.2000122,0,0,0
850,GOOGL 3/20/20 C850,420,428.2000122,0,0,0
855,GOOGL 3/20/20 C855,415,423.2000122,0,0,0
860,GOOGL 3/20/20 C860,410,418.2000122,0,0,0
865,GOOGL 3/20/20 C865,405,413.2000122,0,0,0
870,GOOGL 3/20/20 C870,400,408.2999878,0,0,0
875,GOOGL 3/20/20 C875,395,403.2999878,0,0,0
880,GOOGL 3/20/20 C880,390,398.2999878,0,0,0
885,GOOGL 3/20/20 C885,385.5,394.6000061,0,0,0
890,GOOGL 3/20/20 C890,380,388.2999878,0,0,0
895,GOOGL 3/20/20 C895,375,383,0,0,0
900,GOOGL 3/20/20 C900,370,378.3999939,440.6000061,0,0
905,GOOGL 3/20/20 C905,365,373.3999939,0,0,0
910,GOOGL 3/20/20 C910,360,368.1000061,224.7599945,0,0
915,GOOGL 3/20/20 C915,355.5,363.5,0,0,0
920,GOOGL 3/20/20 C920,350,358.2000122,480.8999939,0,0
925,GOOGL 3/20/20 C925,345.5,353.5,0,0,0
930,GOOGL 3/20/20 C930,340.5,348.6000061,468.6799927,0,0
935,GOOGL 3/20/20 C935,335.5,343.6000061,0,0,0
940,GOOGL 3/20/20 C940,330.5,338.7000122,533.75,0,0
945,GOOGL 3/20/20 C945,325.5,333.7000122,0,0,0
950,GOOGL 3/20/20 C950,320.5,328.7999878,544.2999878,0,0
955,GOOGL 3/20/20 C955,315.5,323.7999878,0,0,0
960,GOOGL 3/20/20 C960,311,319.7999878,414.980011,0,0
965,GOOGL 3/20/20 C965,305.5,313.8999939,0,0,0
970,GOOGL 3/20/20 C970,300.5,309,0,0,0
975,GOOGL 3/20/20 C975,295.5,304,402.1000061,0,0
980,GOOGL 3/20/20 C980,290.5,299.1000061,308.7999878,0,0
985,GOOGL 3/20/20 C985,286,295.1000061,0,0,0
990,GOOGL 3/20/20 C990,281,291,276.480011,66.44269428,0
995,GOOGL 3/20/20 C995,276,286,399,65.25107297,0
1000,GOOGL 3/20/20 C1000,271,281,370.5700073,64.06410671,0
1005,GOOGL 3/20/20 C1005,266.5,276.5,0,69.92878961,0
1010,GOOGL 3/20/20 C1010,262,272,433.25,68.19140372,0
1015,GOOGL 3/20/20 C1015,256.5,266.5,0,67.38618425,0
1020,GOOGL 3/20/20 C1020,252.5,262.5,350.8999939,74.56562471,0
1025,GOOGL 3/20/20 C1025,246.5,256.5,0,64.86041787,0
1030,GOOGL 3/20/20 C1030,242.5,252.5,278.0899963,67.86250773,0
1035,GOOGL 3/20/20 C1035,237,247,0,66.84090215,0
1040,GOOGL 3/20/20 C1040,232,240.3000031,444.6700134,56.99351028,0
1045,GOOGL 3/20/20 C1045,227.5,236.3999939,405,63.82277257,0
1050,GOOGL 3/20/20 C1050,223,232.1999969,376.2399902,66.96153855,0
1055,GOOGL 3/20/20 C1055,217.5,227.5,162.8899994,64.97984409,0
1060,GOOGL 3/20/20 C1060,213,222.1999969,346.2000122,64.22847798,0
1065,GOOGL 3/20/20 C1065,208,217.8000031,165,61.58253421,0
1070,GOOGL 3/20/20 C1070,203.5,212.3000031,235.8000031,63.17254213,0
1075,GOOGL 3/20/20 C1075,198.5,207.5,142.1000061,62.30973457,0
1080,GOOGL 3/20/20 C1080,193.5,203.5,436.8900146,63.32170179,0
1085,GOOGL 3/20/20 C1085,189,197.1000061,176.1999969,59.78252746,0
1090,GOOGL 3/20/20 C1090,184,192.5,272.8999939,59.3420679,0
1095,GOOGL 3/20/20 C1095,179.5,189.5,214.1100006,61.71085821,0
1100,GOOGL 3/20/20 C1100,174.5,184.5,137.4400024,60.32022124,2
1105,GOOGL 3/20/20 C1105,170,178.3999939,254.7799988,57.72871045,0
1110,GOOGL 3/20/20 C1110,165.5,175.1000061,188.6999969,60.38630107,0
1115,GOOGL 3/20/20 C1115,161,171,330.8200073,59.54141964,0
1120,GOOGL 3/20/20 C1120,156,164.3999939,314.7000122,57.08833519,0
1125,GOOGL 3/20/20 C1125,151.5,160.5,316.2000122,58.12455965,0
1130,GOOGL 3/20/20 C1130,147,156,311.3500061,58.04586148,0
1135,GOOGL 3/20/20 C1135,142.5,152.5,131.6999969,59.17070243,0
1140,GOOGL 3/20/20 C1140,138,146.3000031,262.2999878,56.65096958,0
1145,GOOGL 3/20/20 C1145,133.5,143.3000031,358.5,58.14904544,0
